title,type,titlereleased,rating,actors,director,category,imdb,runtime,description,language,actor_0,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10,actor_11,actor_12,actor_13,actor_14,actor_15,actor_16,actor_17,actor_18,actor_19,actor_20,director_0,director_1,director_2,director_3,director_4,director_5,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7
Guna 369,Movie,2019,TV-MA,"Adithya Menon, Kartikeya Gummakonda, Anagha LK",Arjun Jandyala,,6.4,142 minutes,A pampered but kind-hearted average joe ditches his romancing and peacekeeping ways when he’s framed for a murder he didn’t commit.,Telugu,Adithya Menon,Kartikeya Gummakonda,Anagha LK,,,,,,,,,,,,,,,,,,,Arjun Jandyala,,,,,,,,,,,,,
Gunjan Saxena: The Kargil Girl ,Movie,2020,TV-14,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Viineet Kumar",Sharan Sharma,Biography,,,Flight Lieutenant Gunjan Saxena makes history in her journey from aspiring aviator to India's first female combat pilot in the Kargil War.,Hindi,Janhvi Kapoor,Pankaj Tripathi,Angad Bedi,Viineet Kumar,,,,,,,,,,,,,,,,,,Sharan Sharma,,,,,,Biography,,,,,,,
Gunpowder Milkshake ,Movie,2021,R,"Karen Gillan, Carla Gugino, Freya Allan",Navot Papushado,"Action, Adventure, Thriller",,114 min,"When an assassin veers off mission to rescue a child, she triggers a war with a powerful crime syndicate -- and reunites a gun-wielding sisterhood.",English,Karen Gillan,Carla Gugino,Freya Allan,,,,,,,,,,,,,,,,,,,Navot Papushado,,,,,,Action,Adventure,Thriller,,,,,
Gurgaon,Movie,2017,TV-14,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir",Shanker Raman,,6.6,106 minutes,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems -- and plans -- of his own.",Hindi,Akshay Oberoi,Pankaj Tripathi,Ragini Khanna,Aamir Bashir,,,,,,,,,,,,,,,,,,Shanker Raman,,,,,,,,,,,,,
Guru,Movie,2007,TV-PG,"Abhishek Bachchan, Mithun Chakraborty, Aishwarya Rai Bachchan, Madhavan",Mani Ratnam,,7.7,154 minutes,Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.,Hindi,Abhishek Bachchan,Mithun Chakraborty,Aishwarya Rai Bachchan,Madhavan,,,,,,,,,,,,,,,,,,Mani Ratnam,,,,,,,,,,,,,
Guvva Gorinka ,Movie,2020,TV-PG,"Satyadev Kancharana, Priya Lal, Priyadarshi Pulikonda",Mohan Babu Bammidi,Romance,,117 min,A Ph.D. student who hates loud noises and and an aspiring violinist who loves making music share an apartment wall -- and something more.,Telugu,Satyadev Kancharana,Priya Lal,Priyadarshi Pulikonda,,,,,,,,,,,,,,,,,,,Mohan Babu Bammidi,,,,,,Romance,,,,,,,
Habibie & Ainun,Movie,2012,TV-14,"Reza Rahadian, Bunga Citra Lestari, Tio Pakusadewo, Ratna Riantiarno",Faozan Rizal,,7.6,124 minutes,"This companion to 2016's ""Rudy Habibie"" traces the relationship between Indonesia’s third president and his wife behind the scenes of their public lives.",Indonesian,Reza Rahadian,Bunga Citra Lestari,Tio Pakusadewo,Ratna Riantiarno,,,,,,,,,,,,,,,,,,Faozan Rizal,,,,,,,,,,,,,
Hachi: A Dog's Tale,Movie,2009,PG-13,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer",Lasse Hallström,"Children & Family Movies
                  Dramas",7.9,93 minutes,"When his master dies, a loyal pooch named Hachiko keeps a vigil for more than a decade at the train station where he once greeted his owner every day.",English,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,,,,,,,,,,,,,,,,,,Lasse Hallström,,,,,,"Children & Family Movies
                  Dramas",,,,,,,
Haider,Movie,2014,TV-MA,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon",Vishal Bhardwaj,,8.1,159 minutes,Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.,Hindi,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,,,,,,,,,,,,,,,,,,Vishal Bhardwaj,,,,,,,,,,,,,
"Hail, Caesar!",Movie,2016,PG-13,"Josh Brolin, George Clooney, Scarlett Johansson, Alden Ehrenreich","Ethan Coen, Joel Coen",,6.3,106 minutes,"When a major star is kidnapped from a movie set, a hard-charging but overwhelmed studio boss sets out to find the actor and save the film.",English,Josh Brolin,George Clooney,Scarlett Johansson,Alden Ehrenreich,,,,,,,,,,,,,,,,,,Ethan Coen,Joel Coen,,,,,,,,,,,,
Hajwala 2: Mysterious Mission,Movie,2018,TV-14,"Hussain Al Hosani, Ali Almarzouqi, Abdullah Al Yousef, Omar Al Hashmi","Ibrahim Al Marzouqui, Hasan Aljaberi",,3.8,115 minutes,"In this sequel, a group of expert drivers skilled in drifting and high-speed racing is recruited to perform obscure tasks for a shadowy gang.",Arabic,Hussain Al Hosani,Ali Almarzouqi,Abdullah Al Yousef,Omar Al Hashmi,,,,,,,,,,,,,,,,,,Ibrahim Al Marzouqui,Hasan Aljaberi,,,,,,,,,,,,
Hakkunde,Movie,2017,TV-14,"Frank Donga, Rahama Sadau, Maryam Booth, Ibrahim Daddy",Oluseyi Asurf,,6.5,92 minutes,A perpetually unemployed graduate desperately leaves his city for a potential opportunity until a roadblock threatens to derail his chance at a career.,English,Frank Donga,Rahama Sadau,Maryam Booth,Ibrahim Daddy,,,,,,,,,,,,,,,,,,Oluseyi Asurf,,,,,,,,,,,,,
Halal Love (and Sex) ,Movie,2015,TV-MA,"Darine Hamze, Rodrigue Sleiman, Zeinab Hind Khadra",Assad Fouladkar,"Comedy, Drama, Romance",,94 min,This film follows four tragic-comic interconnected stories of Beiruti men and women trying to manage between romantic desires and religious devotion.,Arabic,Darine Hamze,Rodrigue Sleiman,Zeinab Hind Khadra,,,,,,,,,,,,,,,,,,,Assad Fouladkar,,,,,,Comedy,Drama,Romance,,,,,
Half Girlfriend,Movie,2017,TV-14,"Arjun Kapoor, Shraddha Kapoor, Vikrant Massey, Seema Biswas",Mohit Suri,,4.3,129 minutes,"Small-town Madhav falls for big-city Riya and wants her to be his girlfriend. But she views their relationship differently, and suggests a compromise.",Hindi,Arjun Kapoor,Shraddha Kapoor,Vikrant Massey,Seema Biswas,,,,,,,,,,,,,,,,,,Mohit Suri,,,,,,,,,,,,,
Half Past Dead ,Movie,2002,PG-13,"Morris Chestnut, Steven Seagal, Matt Battaglia",Don Michael Paul,"Action, Crime, Thriller",,98 min,A criminal mastermind plans to infiltrate a high-tech prison to persuade a man on death row to reveal where he hid a fortune from an unsolved heist.,English,Morris Chestnut,Steven Seagal,Matt Battaglia,,,,,,,,,,,,,,,,,,,Don Michael Paul,,,,,,Action,Crime,Thriller,,,,,
Halftime ,Movie,2022,TV-MA,Jennifer Lopez,Amanda Micheli,"Music, Documentary",,96 mins,Global superstar Jennifer Lopez reflects on her multifaceted career and the pressure of life in the spotlight in this intimate documentary.,English,Jennifer Lopez,,,,,,,,,,,,,,,,,,,,,Amanda Micheli,,,,,,Music,Documentary,,,,,,
Halkaa,Movie,2018,TV-14,"Tathastu, Aryan Preet, Ranvir Shorey, Paoli Dam",Nila Madhab Panda,,7.3,110 minutes,"Up against a corrupt government official and crushing poverty, a young boy in the Delhi slums attempts to raise funds to build himself his own toilet.",Hindi,Tathastu,Aryan Preet,Ranvir Shorey,Paoli Dam,,,,,,,,,,,,,,,,,,Nila Madhab Panda,,,,,,,,,,,,,
Hamid,Movie,2018,TV-MA,"Talha Arshad Reshi, Rasika Dugal, Vikas Kumar, Sumit Kaul",Aijaz Khan,,7.8,108 minutes,"Wanting his missing father to come home, a Kashmiri boy repeatedly attempts to call God for help -- until one day, a hardened army officer picks up.",Urdu,Talha Arshad Reshi,Rasika Dugal,Vikas Kumar,Sumit Kaul,,,,,,,,,,,,,,,,,,Aijaz Khan,,,,,,,,,,,,,
Hampstead ,Movie,2017,PG-13,"James Norton, Brendan Gleeson, Diane Keaton",Joel Hopkins,"Comedy, Drama, Romance",,102 min,An American widow in London forms an unexpected relationship with a man living off the grid in a beautiful park ripe for development.,English,James Norton,Brendan Gleeson,Diane Keaton,,,,,,,,,,,,,,,,,,,Joel Hopkins,,,,,,Comedy,Drama,Romance,,,,,
Hand Rolled Cigarette ,Movie,2020,TV-MA,"Ka-Tung Lam, Bipin Karma, Singh Hartihan Bitto",Kin Long Chan,Drama,,101 min,A retired officer in Hong Kong and a young thief strike up an unlikely friendship as they get caught up in a triad manhunt.,Cantonese,Ka-Tung Lam,Bipin Karma,Singh Hartihan Bitto,,,,,,,,,,,,,,,,,,,Kin Long Chan,,,,,,Drama,,,,,,,
Handsome: A Netflix Mystery Movie,Movie,2017,TV-MA,"Jeff Garlin, Natasha Lyonne, Amy Sedaris, Steven Weber",Jeff Garlin,,5.2,81 minutes,Homicide detective Gene Handsome sets out to solve a woman's murder while searching for clues about what's missing from his personal life.,English,Jeff Garlin,Natasha Lyonne,Amy Sedaris,Steven Weber,,,,,,,,,,,,,,,,,,Jeff Garlin,,,,,,,,,,,,,
Hannah Gadsby: Douglas ,Movie,2020,TV-MA,Hannah Gadsby,,Comedy,,72 min,"Hannah Gadsby returns for her second special and digs deep into the complexities of popularity, identity and her most unusual dog park encounter.",English,Hannah Gadsby,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy,,,,,,,
Hannah Gadsby: Nanette,Movie,2018,TV-MA,Hannah Gadsby,"Madeleine Parry, Jon Olb",,8.2,69 minutes,"Australian comic Hannah Gadsby reshapes standard stand-up by pairing punchlines with personal revelations on gender, sexuality and childhood turmoil.",English,Hannah Gadsby,,,,,,,,,,,,,,,,,,,,,Madeleine Parry,Jon Olb,,,,,,,,,,,,
Hannibal Buress: Comedy Camisado,Movie,2016,TV-MA,Hannibal Buress,Lance Bangs,,6.6,67 minutes,"In a special packed with stealthy humor, Hannibal Buress tackles zipper etiquette, the legacy of steroids and the fallout from his Bill Cosby routine.",English,Hannibal Buress,,,,,,,,,,,,,,,,,,,,,Lance Bangs,,,,,,,,,,,,,
Hantu Kak Limah,Movie,2018,TV-PG,"Awie, Arab Khalid, Sharwani Ns, Tj Isa",Mamat Khalid,,6.4,110 minutes,"When Kak Limah turns up dead shortly after her marriage to a much younger man, her pesky ghost haunts the villagers, who can't seem to get rid of her.",Malay,Awie,Arab Khalid,Sharwani Ns,Tj Isa,,,,,,,,,,,,,,,,,,Mamat Khalid,,,,,,,,,,,,,
Happiness Ever After ,Movie,2021,TV-14,Peter Cornelius Schoeman,Thabang Moleya,"Drama, Romance",,99 min,"This sequel to ""Happiness is a Four-Letter Word"" finds Zaza, Princess and Zim living new chapters of their lives amid loss, family grudges and new love.",English,Peter Cornelius Schoeman,,,,,,,,,,,,,,,,,,,,,Thabang Moleya,,,,,,Drama,Romance,,,,,,
Happy Anniversary,Movie,2018,TV-MA,"Noël Wells, Ben Schwartz, Joe Pantoliano, Annie Potts",Jared Stern,,5.7,78 minutes,A quirky couple spends their three-year dating anniversary looking back at their relationship and contemplating whether they should break up.,English,Noël Wells,Ben Schwartz,Joe Pantoliano,Annie Potts,,,,,,,,,,,,,,,,,,Jared Stern,,,,,,,,,,,,,
Happy as Lazzaro,Movie,2018,PG-13,"Adriano Tardiolo, Agnese Graziani, Alba Rohrwacher, Luca Chikovani",Alice Rohrwacher,,7.6,127 minutes,"Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise's son will change his world.",Italian,Adriano Tardiolo,Agnese Graziani,Alba Rohrwacher,Luca Chikovani,,,,,,,,,,,,,,,,,,Alice Rohrwacher,,,,,,,,,,,,,
Happy Birthday ,Movie,2022,TV-14,"Lavanya Tripathi, Naresh Agastya, Vennela Kishore, Satya",Ritesh Rana,Comedy,,154 min,"At an upscale hotel, a birthday party and a criminal conspiracy collide as a group of misfits clumsily navigate the consequences of a newly-passed law.",Telugu,Lavanya Tripathi,Naresh Agastya,Vennela Kishore,Satya,,,,,,,,,,,,,,,,,,Ritesh Rana,,,,,,Comedy,,,,,,,
