title,type,titlereleased,image_landscape,image_portrait,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,language
Any Given Sunday,Movie,1999,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABf5wB60Ve_yBKtm5MyTt1mmpw7YmFgDI_GKb0vt0j46z30-N6HhUUQeU73lBArXsFCjcrP-NgONfFLlNDcNS09anlhlI.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABf5wB60Ve_yBKtm5MyTt1mmpw7YmFgDI_GKb0vt0j46z30-N6HhUUQeU73lBArXsFCjcrP-NgONfFLlNDcNS09anlhlI.jpg,R,SuperHD,"Al Pacino, Dennis Quaid, Jamie Foxx, Cameron Diaz",Oliver Stone,"Dramas
                  Sports Movies",,150 minutes,60000427,2020-03-01,"Director Oliver Stone crafts this look at the gritty world of pro football, capturing the trials and tribulations of the fictional Miami Sharks.",English
Apollo 10 1/2: A Space Age Childhood ,Movie,2022,https://www.whats-on-netflix.com/wp-content/uploads/covers/apollo1012aspaceagechildhood.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/apollo1012aspaceagechildhood.jpeg,PG-13,,"Zachary Levi, Jack Black, Glen Powell",Richard Linklater,"Animation, Adventure, Drama",,97 min,81161042,2022-04-01,"A man narrates stories of his life as a 10-year-old boy in 1969 Houston, weaving tales of nostalgia with a fantastical account of a journey to the moon.",English
Apostle,Movie,2018,https://occ-0-116-114.1.nflxso.net/art/28764/6711a46fa127f68df9d674b71b70013c66628764.jpg,https://occ-0-116-114.1.nflxso.net/art/28764/6711a46fa127f68df9d674b71b70013c66628764.jpg,TV-MA,SuperHD,"Dan Stevens, Lucy Boynton, Michael Sheen, Mark Lewis Jones",Gareth Evans,,6.3/10,130 minutes,80158148,2018-10-12,"In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",English
Apple of my Eyes ,Movie,2021,https://www.whats-on-netflix.com/wp-content/uploads/covers/appleofmyeyes.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/appleofmyeyes.jpeg,TV-PG,,"Dalal Abdulaziz, Mervat Amin, Sherine",Sarah Noah,Comedy,,91 min,81551210,2022-04-04,"When five kids are abducted on their way to school, the parents turn to the police, but their grandmothers decide to take matters into their own hands.",Arabic
Arahan ,Movie,1986,https://www.whats-on-netflix.com/wp-content/uploads/covers/arahan.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/arahan.jpeg,TV-MA,,"Ji-yun Han, Cheol Jang, Jin-Hwa Jeong",Jeong-yong Kim,Action,,95 min,70201188,2021-12-01,"Sang-hwan became a cop in order to help the downtrodden, but he doesn't get much respect. All that changes when he meets the Seven Masters.",Korean
Arango y Sanint: Ríase el show,Movie,2018,https://occ-0-114-116.1.nflxso.net/art/b1695/192fdefd6414b5177fd6d7bee4b3e3160feb1695.jpg,https://occ-0-114-116.1.nflxso.net/art/b1695/192fdefd6414b5177fd6d7bee4b3e3160feb1695.jpg,TV-MA,SuperHD,"Julián Arango, Antonio Sanint","Raúl Campos, Jan Suter",,4.0/10,62 minutes,80191988,2018-01-17,"Colombian stand-up comedians Antonio Sanint and Julián Arango impersonate an Argentine visitor and a cabbie, and a pair of dirty old men at the opera.",Spanish
Ari Eldjárn: Pardon My Icelandic ,Movie,2020,https://www.whats-on-netflix.com/wp-content/uploads/covers/arieldjrnpardonmyicelandic.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/arieldjrnpardonmyicelandic.jpeg,TV-MA,SuperHD,Ari Eldjárn,August Jakobsson,Comedy,,54 min,81337086,2020-12-02,"In this English-language special, Icelandic comedian Ari Eldjárn pokes fun at Nordic rivalries, Hollywood's take on Thor, the whims of toddlers and more.",English
"ariana grande: excuse me, i love you ",Movie,2020,https://www.whats-on-netflix.com/wp-content/uploads/covers/arianagrandeexcusemeiloveyou.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/arianagrandeexcusemeiloveyou.jpeg,TV-MA,SuperHD,Ariana Grande,Paul Dugdale,"Documentary, Music",,97 mins,81238721,2020-12-21,Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,English
Arlo the Alligator Boy ,Movie,2021,https://www.whats-on-netflix.com/wp-content/uploads/covers/arlothealligatorboy.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/arlothealligatorboy.jpeg,TV-Y7,SuperHD,"Michael J. Woodard, Mary Lambert, Haley Tju, Jonathan Van Ness",Ryan Crego,"Animation, Adventure, Comedy, Family, Musical",,90 min,81018635,2021-04-16,"To find the father he never knew, optimistic Arlo leaves his swampy Southern home for New York City, making friends along the way. A musical adventure.",English
Armed to the Teeth,Movie,2018,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABRPO2mmAJOE6nao-dpGssKyvVBXB11q8VXI0M-gd4p2qmLL8FC53wghQU0YjOUFArLa_taI2FLe7Yj3tmCQzXo7Ic4_4hd6i6A.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABRPO2mmAJOE6nao-dpGssKyvVBXB11q8VXI0M-gd4p2qmLL8FC53wghQU0YjOUFArLa_taI2FLe7Yj3tmCQzXo7Ic4_4hd6i6A.jpg,TV-MA,SuperHD,,Alberto Arnaut Estrada,,8.2/10,109 minutes,81123826,2019-08-13,"This documentary follows the controversy surrounding the 2010 murders of two students, who were framed as criminals and killed by the Mexican military.",Spanish
