title,type,titlereleased,image_landscape,image_portrait,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,language
A Little Help with Carol Burnett,TV,2018,https://occ-0-114-116.1.nflxso.net/art/890a2/d4364340b470efb1fa834aa018396f4ead6890a2.jpg,https://occ-0-114-116.1.nflxso.net/art/890a2/d4364340b470efb1fa834aa018396f4ead6890a2.jpg,TV-G,SuperHD,"Carol Burnett, Russell Peters, Mark Cuban, Taraji P. Henson",,,6.1/10,,80193475,2018-05-04,"Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty.",English
A Little Thing Called First Love,TV,2019,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABQ4KnrfSektpJVcQqoP8wt_QX2izkhamso6fX8CLf-5vL9dro4LQ-6Lal41et8dYfw9HIdKihnnPC5aQAxRZZMS1k41XEK3K155-7-DBY17A_kMyVbiS7uI2vjmQau-utnZS6YfDjdlOXg.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABQ4KnrfSektpJVcQqoP8wt_QX2izkhamso6fX8CLf-5vL9dro4LQ-6Lal41et8dYfw9HIdKihnnPC5aQAxRZZMS1k41XEK3K155-7-DBY17A_kMyVbiS7uI2vjmQau-utnZS6YfDjdlOXg.jpg,TV-G,SuperHD,"Lai Kuan-lin, Zhao Jinmai, Wang Runze, Chai Wei",,,8.4/10,,81185502,2019-10-25,"A shy, artistic student develops a crush on a classmate with a knack for basketball and embarks on a journey of self-discovery through college.",Mandarin
A Love So Beautiful ,TV,2017,https://www.whats-on-netflix.com/wp-content/uploads/covers/alovesobeautiful.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/alovesobeautiful.jpeg,TV-PG,SuperHD,"Kim Yo-han, So Joo-yeon, Yeo Hoi-hyun, Jeong Jin-hwan, Jo Hye-joo, Yun Seo-hyun",N/A,"Romance, Teen, Comedy",,N/A,81354739,2020-12-28,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",Korean
A Love So Beautiful,TV,2017,https://occ-0-114-116.1.nflxso.net/art/3e8cd/927a55d25864ef141c10e79600a384e57393e8cd.jpg,https://occ-0-114-116.1.nflxso.net/art/3e8cd/927a55d25864ef141c10e79600a384e57393e8cd.jpg,TV-14,SuperHD,"Hu Yitian, Shen Yue, Gao Zhi Ting, Wang Zi Wei",,,,,80239640,2018-04-20,"The ups and downs of school, family and growing up test the affection between a budding artist and her handsome but indifferent classmate and neighbor.",Korean
A Model Family ,TV,2022–,https://www.whats-on-netflix.com/wp-content/uploads/covers/amodelfamily.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/amodelfamily.jpeg,TV-MA,,"Park Ji-Yeon, Moon Jin-Seung, Woo Jung",N/A,"Crime, Drama, Thriller",,45 mins,81349413,2022-08-12,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier.",Korean
A Nation of Broth ,TV,2022,https://www.whats-on-netflix.com/wp-content/uploads/covers/anationofbroth.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/anationofbroth.jpeg,TV-PG,,"Huh Young-man, Ham Yon-ji, Ryu Su-young",,Documentary,,55 mins,81607869,2022-05-29,A humble bowl of good soup sits at the heart of every Korean table. Take off on a journey that explores the history and evolution of Korean soup.,Korean
A Perfect Crime,TV,2020,https://www.whats-on-netflix.com/wp-content/uploads/covers/aperfectcrime.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/aperfectcrime.jpeg,TV-14,SuperHD,,,"Historical, Documentary, True Crime",,N/A,81022994,2020-09-25,"This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification.",German
A Perfect Day For Arsenide ,TV,,https://www.whats-on-netflix.com/wp-content/uploads/covers/aperfectdayforarsenide.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/aperfectdayforarsenide.jpeg,TV-MA,SuperHD,"Wilfred Lau, Hanna Chan, Terence Siufay, Chloe So, Martin Wong, Aaron Chow",Sunny Lau,"Crime, Romance, Drama",,,81405587,2021-03-01,"An eclectic group of people encounters zany situations in this anthology of surreal, offbeat tales from Hong Kong. Based on Mr. Pizza's hit novel.",Cantonese
A Queen Is Born ,TV,2020,https://www.whats-on-netflix.com/wp-content/uploads/covers/aqueenisborn.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/aqueenisborn.jpeg,TV-14,SuperHD,"Gloria Groove, Alexia Twister",Carla Barros,"LGBTQ, Reality",,N/A,81140803,2020-11-11,Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.,Portuguese
A Series of Unfortunate Events,TV,2017,https://occ-0-1722-1723.1.nflxso.net/art/64997/f58fc8b8c8c2443515349b06e130db9b98264997.jpg,https://occ-0-1722-1723.1.nflxso.net/art/64997/f58fc8b8c8c2443515349b06e130db9b98264997.jpg,TV-PG,SuperHD,"Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes",,,7.8/10,,80050008,2017-01-13,"The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",English
